MsgID.GLOBAL_POSITION,1525206406.2777631,-122.3974501,37.7924809,-0.0660000
MsgID.LOCAL_VELOCITY,1525206406.2777631,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206406.2780380,0.1002561,-0.0150691,0.0665788
MsgID.LOCAL_VELOCITY,1525206406.2780380,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1525206406.2783659,False,False
MsgID.GLOBAL_HOME,1525206406.2788560,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1525206406.2789800,-122.3974491,37.7924799,-0.0510000
MsgID.LOCAL_VELOCITY,1525206406.2789800,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206406.2790980,-0.0043515,0.0763567,0.0514611
MsgID.LOCAL_VELOCITY,1525206406.2790980,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525206406.2792170,-122.3974497,37.7924811,-0.0150000
MsgID.LOCAL_VELOCITY,1525206406.2792170,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206406.2793610,0.1318386,0.0261249,0.0158186
MsgID.LOCAL_VELOCITY,1525206406.2793610,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525206406.2795351,-122.3974511,37.7924798,0.0330000
MsgID.LOCAL_VELOCITY,1525206406.2795351,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206406.2797000,-0.0188674,-0.0995199,-0.0341062
MsgID.LOCAL_VELOCITY,1525206406.2797000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525206406.3258181,-122.3974506,37.7924788,0.0930000
MsgID.LOCAL_VELOCITY,1525206406.3258181,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206406.3260059,-0.1231316,-0.0602410,-0.0932629
MsgID.LOCAL_VELOCITY,1525206406.3260059,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1525206406.5722470,True,True
MsgID.GLOBAL_HOME,1525206407.2167659,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1525206407.2168839,-122.3974496,37.7924802,0.1460000
MsgID.LOCAL_VELOCITY,1525206407.2168839,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206407.2170041,-0.0205247,0.3291056,-0.1469153
MsgID.LOCAL_VELOCITY,1525206407.2170041,0.0000176,-0.0000027,0.0000207
MsgID.GLOBAL_POSITION,1525206407.2171149,-122.3974500,37.7924816,0.1880000
MsgID.LOCAL_VELOCITY,1525206407.2171149,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206407.2172220,0.1340884,0.2935075,-0.1882444
MsgID.LOCAL_VELOCITY,1525206407.2172220,0.0000056,0.0000169,0.0000132
MsgID.GLOBAL_POSITION,1525206407.2173281,-122.3974500,37.7924811,0.2070000
MsgID.LOCAL_VELOCITY,1525206407.2173281,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206407.2174330,0.0714029,0.2938911,-0.2077231
MsgID.LOCAL_VELOCITY,1525206407.2174330,-0.0000115,-0.0000241,0.0000178
MsgID.GLOBAL_POSITION,1525206407.3265011,-122.3974495,37.7924812,0.2070000
MsgID.LOCAL_VELOCITY,1525206407.3265011,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206407.3269639,0.0873023,0.3373726,-0.2071318
MsgID.LOCAL_VELOCITY,1525206407.3269639,-0.0000198,0.0000050,0.0000155
MsgID.STATE,1525206407.5721769,True,True
MsgID.GLOBAL_HOME,1525206407.5725708,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1525206407.5764768,-122.3974478,37.7924794,0.1800000
MsgID.LOCAL_VELOCITY,1525206407.5764768,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525206407.5766289,-0.1181028,0.4808026,-0.1808350
MsgID.LOCAL_VELOCITY,1525206407.5766289,-0.0000049,-0.0000115,0.0000190
MsgID.GLOBAL_POSITION,1525206407.8276141,-122.3974491,37.7924796,0.3560000
MsgID.LOCAL_VELOCITY,1525206407.8276141,0.0000000,0.0000000,-1.9200000
MsgID.LOCAL_POSITION,1525206407.8278689,-0.0930348,0.3677720,-0.3560253
MsgID.LOCAL_VELOCITY,1525206407.8278689,0.0054400,0.0039436,-1.9289432
MsgID.GLOBAL_POSITION,1525206408.0766761,-122.3974499,37.7924813,1.0350000
MsgID.LOCAL_VELOCITY,1525206408.0766761,0.0000000,0.0200000,-3.7500000
MsgID.LOCAL_POSITION,1525206408.0768390,0.0986073,0.3006057,-1.0352775
MsgID.LOCAL_VELOCITY,1525206408.0768390,0.0060691,0.0237822,-3.7591674
MsgID.GLOBAL_POSITION,1525206408.3272769,-122.3974491,37.7924799,2.0740000
MsgID.LOCAL_VELOCITY,1525206408.3272769,-0.0200000,0.0200000,-4.3700000
MsgID.LOCAL_POSITION,1525206408.3274329,-0.0574856,0.3730449,-2.0744257
MsgID.LOCAL_VELOCITY,1525206408.3274329,-0.0266421,0.0257790,-4.3776569
MsgID.STATE,1525206408.5726390,True,True
MsgID.GLOBAL_HOME,1525206408.5728190,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1525206408.5768571,-122.3974497,37.7924800,3.0800000
MsgID.LOCAL_VELOCITY,1525206408.5768571,-0.0200000,0.0200000,-4.4600000
MsgID.LOCAL_POSITION,1525206408.5770121,-0.0433186,0.3156801,-3.0806947
MsgID.LOCAL_VELOCITY,1525206408.5770121,-0.0241626,0.0223371,-4.4606910
MsgID.GLOBAL_POSITION,1525206408.8284559,-122.3974494,37.7924805,4.2490000
MsgID.LOCAL_VELOCITY,1525206408.8284559,0.0000000,0.0200000,-4.5500000
MsgID.LOCAL_POSITION,1525206408.8286059,0.0117086,0.3394000,-4.2497578
MsgID.LOCAL_VELOCITY,1525206408.8286059,-0.0085826,0.0287839,-4.5594978
MsgID.GLOBAL_POSITION,1525206409.0774651,-122.3974481,37.7924812,5.1930000
MsgID.LOCAL_VELOCITY,1525206409.0774651,0.0000000,0.0200000,-3.0900000
MsgID.LOCAL_POSITION,1525206409.0776210,0.0843010,0.4565071,-5.1938720
MsgID.LOCAL_VELOCITY,1525206409.0776210,-0.0087232,0.0281848,-3.0924258
MsgID.GLOBAL_POSITION,1525206409.3270919,-122.3974502,37.7924815,5.6480000
MsgID.LOCAL_VELOCITY,1525206409.3270919,0.0000000,0.0200000,-0.4100000
MsgID.LOCAL_POSITION,1525206409.3272860,0.1151892,0.2755466,-5.6486893
MsgID.LOCAL_VELOCITY,1525206409.3272860,-0.0081722,0.0264045,-0.4185862
MsgID.STATE,1525206409.5726268,True,True
MsgID.GLOBAL_HOME,1525206409.5728300,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1525206409.5769112,-122.3974508,37.7924798,5.5040000
MsgID.LOCAL_VELOCITY,1525206409.5769112,-0.1400000,-0.1100000,1.5300000
MsgID.LOCAL_POSITION,1525206409.5770650,-0.0652981,0.2220595,-5.5049515
MsgID.LOCAL_VELOCITY,1525206409.5770650,-0.1423635,-0.1150097,1.5320896
MsgID.GLOBAL_POSITION,1525206409.8291099,-122.3974510,37.7924777,5.0390000
MsgID.LOCAL_VELOCITY,1525206409.8291099,-0.7700000,-1.0000000,1.8700000
MsgID.LOCAL_POSITION,1525206409.8293061,-0.3029966,0.1987317,-5.0396352
MsgID.LOCAL_VELOCITY,1525206409.8293061,-0.7791975,-1.0081769,1.8792815
MsgID.GLOBAL_POSITION,1525206410.0786231,-122.3974555,37.7924773,4.8500000
MsgID.LOCAL_VELOCITY,1525206410.0786231,-1.2300000,-2.1600000,-0.0100000
MsgID.LOCAL_POSITION,1525206410.0787799,-0.3492058,-0.1950256,-4.8501878
MsgID.LOCAL_VELOCITY,1525206410.0787799,-1.2348210,-2.1679075,-0.0184963
